Reactions_Number,Temperature,S_C,H_logP,H_TPSA,Atom1 NBO charge,Atom3 NBO charge,Atom4 NBO charge,C=O/C=N Vibration Frequency,Sterimol L1,Sterimol Bmin1,Sterimol Bmax1,Sterimol L2,Sterimol Bmin2,Sterimol Bmax2,C_Di_HA,Bite_Anger,C_BL1,C_BL2,Ph_distance,N_Q1,N_Q2,M_Q,%V_bur,Ee
R06_01_Cat06_T333,333,100,0.17,27.57,0.619,-0.147,-0.155,1684.14,4.11 ,1.70 ,4.94 ,3.44 ,1.70 ,4.96 ,40.6,74.88,2.15667,2.17608,1.73,-0.875,-0.57,0.041,0.809,98
R06_02_Cat06_T313,313,100,0.17,27.57,-0.597,-0.157,-0.162,1701.7,4.51 ,1.70 ,4.97 ,3.44 ,1.70 ,4.96 ,40.6,74.85,2.15734,2.17588,1.73,-0.875,-0.57,0.042,0.809,98
R06_06_Cat06_T333,333,100,0.17,27.57,-0.623,-0.153,-0.156,1681.64,7.05 ,1.96 ,4.59 ,3.44 ,1.70 ,4.96 ,40.6,74.88,2.15667,2.17608,1.73,-0.875,-0.57,0.041,0.809,98
R09_01_Cat09_T298,298,100,0.17,27.57,-0.58,-0.165,-0.58,1750.46,5.32 ,1.70 ,5.54 ,3.45 ,1.70 ,4.96 ,43.2,73.83,2.1406,2.13939,1.74,-0.836,-0.567,-0.005,0.799,98
R12_10_Cat08_T323,323,200,-0.327466667,27.02666667,-0.599,-0.15,-0.218,1736.64,8.65 ,1.70 ,6.11 ,3.42 ,1.70 ,4.96 ,48.2,79.02,2.1505,2.11373,1.92,-0.901,-0.575,0.24,0.817,98
R13_19_Cat05_T298,298,67,0.17,27.57,-0.534,0.626,-0.65,1800.05,6.81 ,1.70 ,4.81 ,6.28 ,1.70 ,5.21 ,40.8,79.18,2.14419,2.11169,1.74,-0.83,-0.553,0.027,0.794,98
R13_23_Cat05_T298,298,67,0.17,27.57,-0.552,0.599,-0.638,1811.36,6.06 ,1.82 ,5.15 ,5.55 ,1.70 ,3.79 ,40.8,79.18,2.14419,2.11169,1.74,-0.83,-0.553,0.027,0.794,98
R13_25_Cat05_T298,298,67,0.17,27.57,-0.523,0.757,-0.643,1831.28,6.11 ,1.82 ,5.18 ,5.20 ,1.70 ,3.16 ,40.8,79.18,2.14419,2.11169,1.74,-0.83,-0.553,0.027,0.794,98
R13_26_Cat05_T298,298,67,0.17,27.57,-0.531,0.616,-0.657,1811.12,6.46 ,2.40 ,7.00 ,6.54 ,1.70 ,3.79 ,40.8,79.18,2.14419,2.11169,1.74,-0.83,-0.553,0.027,0.794,98
R14_07_Cat05_T298,298,100,0.17,27.57,-0.586,-0.128,-0.183,1725.61,5.24 ,1.70 ,7.69 ,6.89 ,1.70 ,4.02 ,40.8,79.18,2.14419,2.11169,1.74,-0.83,-0.553,0.027,0.794,98
R17_10_Cat08_T298,298,100,0.17,27.57,-0.575,0.325,-0.388,1722.71,6.14 ,1.70 ,9.37 ,4.38 ,1.70 ,4.30 ,48.7,79.18,2.14419,2.11169,1.85,-0.897,-0.576,0.237,0.819,98
R17_13_Cat08_T298,298,100,0.17,27.57,-0.573,0.325,-0.386,1724.01,6.14 ,1.70 ,8.39 ,4.38 ,1.70 ,4.30 ,48.7,79.18,2.14419,2.11169,1.85,-0.897,-0.576,0.237,0.819,98
R17_14_Cat08_T298,298,100,0.17,27.57,-0.57,0.325,-0.382,1727.54,6.15 ,1.70 ,7.29 ,4.38 ,1.70 ,4.30 ,48.7,79.18,2.14419,2.11169,1.85,-0.897,-0.576,0.237,0.819,98
R17_16_Cat08_T298,298,100,0.17,27.57,-0.569,0.325,-0.38,1727.32,6.15 ,1.70 ,9.30 ,4.38 ,1.70 ,4.30 ,48.7,79.18,2.14419,2.11169,1.85,-0.897,-0.576,0.237,0.819,98
R17_22_Cat08_T298,298,100,0.17,27.57,-0.556,0.326,-0.336,1739.6,6.80 ,1.70 ,5.93 ,4.36 ,1.70 ,4.31 ,48.7,79.18,2.14419,2.11169,1.85,-0.897,-0.576,0.237,0.819,98
R20_07_Cat12_T323,323,100,-0.14,72.3,-0.616,-0.162,-0.345,1763.65,4.75 ,1.76 ,7.17 ,3.25 ,1.97 ,3.24 ,48.1,78.41,2.18974,2.12848,1.74,-0.851,-0.737,0.032,0.784,98
R20_10_Cat12_T323,323,100,-0.14,72.3,-0.615,-0.162,-0.345,1764.47,4.18 ,1.76 ,8.70 ,3.25 ,1.97 ,3.24 ,48.1,78.41,2.18974,2.12848,1.74,-0.851,-0.737,0.032,0.784,98
R20_15_Cat12_T323,323,100,-0.14,72.3,-0.617,-0.162,-0.345,1763.23,8.60 ,3.00 ,4.57 ,3.25 ,1.97 ,3.24 ,48.1,78.41,2.18974,2.12848,1.74,-0.851,-0.737,0.032,0.784,98
R21_05_Cat08_T298,298,100,0.17,27.57,-0.537,-0.167,-0.438,1783.84,6.43 ,1.70 ,5.97 ,3.46 ,1.70 ,4.96 ,48.2,79.31,2.13151,2.10479,1.85,-0.892,-0.575,0.229,0.825,98
R22_08_Cat13_T333,333,1000,0.17,27.57,-0.626,-0.128,-0.791,1708.84,6.56 ,1.70 ,5.87 ,2.18 ,1.70 ,2.14 ,42.8,78.79,2.11552,2.15028,1.82,-0.833,-0.745,-0.265,0.706,98.1
R22_12_Cat13_T333,333,1000,0.17,27.57,-0.613,-0.141,-0.656,1701.72,5.69 ,1.70 ,5.26 ,5.27 ,1.70 ,3.04 ,42.8,78.79,2.11552,2.15028,1.82,-0.833,-0.745,-0.265,0.706,98.1
R22_12_Cat13_T313,313,1000,0.17,27.57,-0.614,-0.141,-0.656,1701.04,5.69 ,1.70 ,5.26 ,5.27 ,1.70 ,3.04 ,42.9,78.77,2.11587,2.15011,1.82,-0.833,-0.745,-0.265,0.706,98.2
R22_04_Cat13_T333,333,1000,0.17,27.57,-0.632,-0.142,-0.79,1697.49,5.97 ,1.70 ,5.68 ,2.18 ,1.70 ,2.14 ,42.8,78.79,2.11552,2.15028,1.82,-0.833,-0.745,-0.265,0.706,98.4
R03_09_Cat04_T303,303,100,0.17,27.57,-0.524,-0.221,-0.568,1836.06,7.10 ,1.97 ,2.82 ,5.30 ,2.51 ,3.55 ,41.4,78.61,2.15133,2.13191,1.74,-0.843,-0.741,0.025,0.783,98.5
R03_15_Cat04_T303,303,100,0.17,27.57,-0.551,-0.209,-0.794,1803.08,7.90 ,1.70 ,6.04 ,2.18 ,1.70 ,2.13 ,41.4,78.61,2.15133,2.13191,1.74,-0.843,-0.741,0.025,0.783,98.5
R22_11_Cat13_T333,333,1000,0.17,27.57,-0.614,-0.134,-0.561,1708.41,5.34 ,1.70 ,5.70 ,5.69 ,1.70 ,5.24 ,42.8,78.79,2.11552,2.15028,1.82,-0.833,-0.745,-0.265,0.706,98.5
R05_13_Cat07_T333,333,200,0.17,27.57,-0.596,-0.16,-0.441,1718.19,4.21 ,2.46 ,5.50 ,3.44 ,1.70 ,4.96 ,40.1,75.28,2.14546,2.17619,1.73,-0.875,-0.57,0.038,0.799,98.9
R01_09_Cat01_T301,301,200,0.17,27.57,-0.635,-0.172,-0.559,1731.74,3.37 ,1.70 ,4.93 ,3.29 ,1.70 ,2.70 ,42.2,77.79,2.14262,2.12838,1.73,-0.863,-0.742,0.027,0.796,99
R01_10_Cat01_T301,301,200,0.17,27.57,-0.638,-0.172,-0.556,1708.71,4.97 ,1.70 ,3.25 ,4.09 ,1.70 ,3.18 ,42.2,77.79,2.14262,2.12838,1.73,-0.863,-0.742,0.027,0.796,99
R03_01_Cat04_T303,303,100,0.17,27.57,-0.534,-0.227,-0.797,1809.77,8.60 ,2.48 ,5.78 ,2.18 ,1.70 ,2.13 ,41.4,78.61,2.15133,2.13191,1.74,-0.843,-0.741,0.025,0.783,99
R03_02_Cat04_T303,303,100,0.17,27.57,-0.537,-0.223,-0.569,1802.19,8.67 ,2.60 ,5.72 ,5.48 ,1.82 ,3.10 ,41.4,78.61,2.15133,2.13191,1.74,-0.843,-0.741,0.025,0.783,99
R03_04_Cat04_T303,303,100,0.17,27.57,-0.54,-0.221,-0.573,1801.31,8.60 ,2.45 ,5.74 ,4.08 ,1.74 ,4.08 ,41.4,78.61,2.15133,2.13191,1.74,-0.843,-0.741,0.025,0.783,99
R03_05_Cat04_T303,303,100,0.17,27.57,-0.527,-0.221,-0.794,1839.8,6.33 ,2.16 ,5.06 ,2.18 ,1.70 ,2.13 ,41.4,78.61,2.15133,2.13191,1.74,-0.843,-0.741,0.025,0.783,99
R03_06_Cat04_T303,303,100,0.17,27.57,-0.524,-0.225,-0.795,1840.86,7.49 ,2.13 ,3.54 ,2.19 ,1.70 ,2.13 ,41.4,78.61,2.15133,2.13191,1.74,-0.843,-0.741,0.025,0.783,99
R03_07_Cat04_T303,303,100,0.17,27.57,-0.525,-0.22,-0.558,1835.12,6.10 ,1.70 ,5.93 ,7.50 ,1.97 ,3.58 ,41.4,78.61,2.15133,2.13191,1.74,-0.843,-0.741,0.025,0.783,99
R03_08_Cat04_T303,303,100,0.17,27.57,-0.528,-0.219,-0.567,1834.94,6.58 ,2.78 ,3.76 ,4.11 ,1.73 ,3.18 ,41.4,78.61,2.15133,2.13191,1.74,-0.843,-0.741,0.025,0.783,99
R06_03_Cat06_T333,333,100,0.17,27.57,-0.588,-0.155,-0.164,1707.26,4.72 ,1.72 ,4.97 ,3.44 ,1.70 ,4.96 ,40.6,74.88,2.15667,2.17608,1.73,-0.875,-0.57,0.041,0.809,99
R06_04_Cat06_T333,333,100,0.17,27.57,-0.6,-0.107,-0.163,1701.6,4.93 ,2.04 ,4.97 ,3.44 ,1.70 ,4.96 ,40.6,74.88,2.15667,2.17608,1.73,-0.875,-0.57,0.041,0.809,99
R06_07_Cat06_T303,303,100,0.17,27.57,-0.594,-0.153,-0.163,1703.57,4.50 ,1.70 ,6.28 ,3.44 ,1.70 ,4.96 ,40.6,74.86,2.15724,2.17605,1.73,-0.875,-0.57,0.042,0.809,99
R06_08_Cat06_T313,313,100,0.17,27.57,-0.585,-0.138,-0.166,1708.96,5.18 ,1.70 ,5.36 ,3.44 ,1.70 ,4.96 ,40.6,74.85,2.15734,2.17588,1.73,-0.875,-0.57,0.042,0.809,99
R06_11_Cat06_T333,333,100,0.17,27.57,-0.583,-0.164,-0.246,1706.17,3.94 ,1.70 ,5.61 ,3.44 ,1.70 ,4.96 ,40.6,74.88,2.15667,2.17608,1.73,-0.875,-0.57,0.041,0.809,99
R06_20_Cat06_T303,303,100,0.17,27.57,-0.612,-0.129,-0.155,1690.39,5.18 ,1.70 ,5.75 ,3.44 ,1.70 ,4.96 ,40.6,74.86,2.15724,2.17605,1.73,-0.875,-0.57,0.042,0.809,99
R06_25_Cat06_T303,303,100,0.17,27.57,-0.62,-0.096,-0.189,1681.2,5.18 ,1.70 ,5.75 ,6.88 ,1.70 ,4.02 ,40.6,74.86,2.15724,2.17605,1.73,-0.875,-0.57,0.042,0.809,99
R12_01_Cat08_T323,323,200,-0.327466667,27.02666667,-0.606,-0.165,-0.215,1732.13,9.33 ,1.70 ,4.66 ,3.42 ,1.70 ,4.96 ,48.2,79.02,2.1505,2.11373,1.92,-0.901,-0.575,0.24,0.817,99
R12_02_Cat08_T323,323,200,-0.327466667,27.02666667,-0.599,-0.153,-0.218,1737.28,7.40 ,1.70 ,6.44 ,3.42 ,1.70 ,4.96 ,48.2,79.02,2.1505,2.11373,1.92,-0.901,-0.575,0.24,0.817,99
R12_04_Cat08_T323,323,200,-0.327466667,27.02666667,-0.602,-0.157,-0.217,1735.45,8.41 ,1.92 ,4.14 ,3.42 ,1.70 ,4.96 ,48.2,79.02,2.1505,2.11373,1.92,-0.901,-0.575,0.24,0.817,99
R12_05_Cat08_T323,323,200,-0.327466667,27.02666667,-0.6,-0.154,-0.218,1737.37,6.83 ,1.70 ,6.06 ,3.42 ,1.70 ,4.96 ,48.2,79.02,2.1505,2.11373,1.92,-0.901,-0.575,0.24,0.817,99
R12_06_Cat08_T323,323,200,-0.327466667,27.02666667,-0.595,-0.139,-0.219,1740.75,7.76 ,1.70 ,6.67 ,3.42 ,1.70 ,4.96 ,48.2,79.02,2.1505,2.11373,1.92,-0.901,-0.575,0.24,0.817,99
R12_07_Cat08_T323,323,200,-0.327466667,27.02666667,-0.596,-0.143,-0.219,1740.11,7.57 ,1.70 ,6.05 ,3.42 ,1.70 ,4.96 ,48.2,79.02,2.1505,2.11373,1.92,-0.901,-0.575,0.24,0.817,99
R12_08_Cat08_T323,323,200,-0.327466667,27.02666667,-0.591,-0.126,-0.22,1741.54,7.93 ,1.70 ,6.63 ,3.42 ,1.70 ,4.96 ,48.2,79.02,2.1505,2.11373,1.92,-0.901,-0.575,0.24,0.817,99
R12_09_Cat08_T323,323,200,-0.327466667,27.02666667,-0.607,-0.168,-0.215,1731.18,7.49 ,1.70 ,6.44 ,3.42 ,1.70 ,4.96 ,48.2,79.02,2.1505,2.11373,1.92,-0.901,-0.575,0.24,0.817,99
R12_11_Cat08_T323,323,200,-0.327466667,27.02666667,-0.607,-0.157,-0.216,1735.46,6.22 ,1.92 ,4.58 ,3.42 ,1.70 ,4.96 ,48.2,79.02,2.1505,2.11373,1.92,-0.901,-0.575,0.24,0.817,99
R12_12_Cat08_T323,323,200,-0.327466667,27.02666667,-0.6,-0.152,-0.218,1736.55,11.27 ,1.70 ,5.89 ,3.42 ,1.70 ,4.96 ,48.2,79.02,2.1505,2.11373,1.92,-0.901,-0.575,0.24,0.817,99
R12_13_Cat08_T323,323,200,-0.327466667,27.02666667,-0.61,-0.172,-0.216,1731.67,10.39 ,1.90 ,5.84 ,3.42 ,1.70 ,4.96 ,48.2,79.02,2.1505,2.11373,1.92,-0.901,-0.575,0.24,0.817,99
R13_20_Cat05_T298,298,67,0.17,27.57,-0.553,0.609,-0.652,1793.26,6.45 ,2.13 ,6.50 ,6.25 ,1.70 ,5.20 ,40.8,79.18,2.14419,2.11169,1.74,-0.83,-0.553,0.027,0.794,99
R14_01_Cat05_T298,298,100,0.17,27.57,-0.578,-0.13,-0.161,1730.99,5.27 ,1.70 ,7.69 ,5.93 ,1.70 ,3.56 ,40.8,79.18,2.14419,2.11169,1.74,-0.83,-0.553,0.027,0.794,99
R14_03_Cat05_T298,298,100,0.17,27.57,-0.578,-0.13,-0.159,1731.14,5.23 ,1.70 ,7.69 ,7.05 ,1.70 ,5.08 ,40.8,79.18,2.14419,2.11169,1.74,-0.83,-0.553,0.027,0.794,99
R14_04_Cat05_T298,298,100,0.17,27.57,-0.578,-0.13,-0.16,1731.53,5.25 ,1.70 ,7.69 ,7.06 ,1.70 ,4.59 ,40.8,79.18,2.14419,2.11169,1.74,-0.83,-0.553,0.027,0.794,99
R14_13_Cat05_T298,298,100,0.17,27.57,-0.576,0.188,-0.128,1728.16,5.16 ,1.70 ,7.71 ,4.29 ,1.70 ,3.62 ,40.8,79.18,2.14419,2.11169,1.74,-0.83,-0.553,0.027,0.794,99
R14_14_Cat05_T298,298,100,0.17,27.57,-0.573,-0.13,-0.329,1721.98,5.26 ,1.70 ,7.70 ,4.64 ,1.76 ,3.46 ,40.8,79.18,2.14419,2.11169,1.74,-0.83,-0.553,0.027,0.794,99
R14_20_Cat05_T298,298,100,0.17,27.57,-0.535,-0.106,-0.123,1733.09,4.23 ,1.70 ,7.71 ,5.91 ,1.70 ,5.25 ,40.8,79.18,2.14419,2.11169,1.74,-0.83,-0.553,0.027,0.794,99
R15_01_Cat08_T273,273,200,0.17,27.57,-0.561,-0.167,-0.24,1759.02,6.79 ,2.93 ,5.49 ,3.47 ,1.70 ,4.96 ,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99
R15_02_Cat08_T273,273,200,0.17,27.57,-0.563,-0.162,-0.239,1757.61,6.77 ,2.95 ,5.47 ,5.38 ,1.70 ,4.47 ,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99
R15_03_Cat08_T273,273,200,0.17,27.57,-0.567,-0.177,-0.239,1754.57,6.78 ,2.94 ,5.46 ,5.93 ,1.70 ,3.53 ,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99
R15_04_Cat08_T273,273,200,0.17,27.57,-0.563,-0.163,-0.239,1752.4,6.78 ,2.93 ,5.48 ,6.75 ,1.71 ,5.31 ,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99
R15_05_Cat08_T273,273,200,0.17,27.57,-0.577,-0.199,-0.238,1745.91,6.79 ,2.92 ,5.45 ,6.89 ,1.70 ,4.02 ,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99
R15_06_Cat08_T273,273,200,0.17,27.57,-0.573,-0.178,-0.239,1749.07,6.11 ,1.70 ,5.97 ,6.29 ,1.70 ,4.12 ,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99
R15_07_Cat08_T273,273,200,0.17,27.57,-0.564,-0.18,-0.239,1758.62,6.78 ,2.94 ,5.46 ,3.47 ,1.70 ,5.57 ,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99
R15_08_Cat08_T273,273,200,0.17,27.57,-0.559,-0.165,-0.239,1759.84,6.77 ,2.95 ,5.44 ,3.49 ,1.70 ,6.27 ,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99
R15_09_Cat08_T273,273,200,0.17,27.57,-0.559,-0.164,-0.239,1760.04,6.77 ,2.93 ,5.46 ,3.49 ,1.70 ,6.50 ,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99
R15_10_Cat08_T273,273,200,0.17,27.57,-0.544,-0.16,-0.236,1775.5,6.78 ,2.90 ,5.50 ,4.53 ,1.74 ,4.89 ,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99
R15_11_Cat08_T273,273,200,0.17,27.57,-0.55,0.094,-0.235,1785.74,6.78 ,2.94 ,5.45 ,3.35 ,1.70 ,4.90 ,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99
R15_12_Cat08_T273,273,200,0.17,27.57,-0.554,-0.198,-0.241,1765.79,6.12 ,1.70 ,5.97 ,3.27 ,1.70 ,4.87 ,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99
R15_13_Cat08_T273,273,200,0.17,27.57,-0.547,0.121,-0.235,1784.99,6.77 ,2.94 ,5.46 ,6.62 ,1.71 ,5.28 ,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99
R15_14_Cat08_T273,273,200,0.17,27.57,-0.572,0.189,-0.232,1746.31,8.00 ,1.89 ,5.91 ,3.93 ,1.70 ,4.30 ,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99
R15_16_Cat08_T273,273,200,0.17,27.57,-0.569,-0.237,-0.569,1796.1,8.01 ,1.70 ,5.91 ,6.87 ,1.76 ,3.55 ,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99
R15_17_Cat08_T273,273,200,0.17,27.57,-0.564,-0.247,-0.55,1792.69,8.00 ,1.70 ,5.92 ,6.01 ,1.70 ,5.99 ,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99
R15_18_Cat08_T273,273,200,0.17,27.57,-0.577,-0.238,-0.339,1791.39,7.97 ,1.70 ,5.93 ,3.26 ,1.70 ,3.26 ,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99
R15_19_Cat08_T273,273,200,0.17,27.57,-0.536,-0.166,-0.225,1751.55,8.03 ,1.70 ,5.89 ,9.09 ,1.70 ,3.35 ,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99
R17_07_Cat08_T298,298,100,0.17,27.57,-0.572,0.347,-0.373,1767.17,6.15 ,1.70 ,7.21 ,4.38 ,1.70 ,4.30 ,48.7,79.18,2.14419,2.11169,1.85,-0.897,-0.576,0.237,0.819,99
R17_11_Cat08_T298,298,100,0.17,27.57,-0.569,0.325,-0.38,1728.28,8.80 ,1.70 ,6.07 ,4.38 ,1.70 ,4.30 ,48.7,79.18,2.14419,2.11169,1.85,-0.897,-0.576,0.237,0.819,99
R17_12_Cat08_T298,298,100,0.17,27.57,-0.572,0.325,-0.408,1729.05,6.32 ,2.60 ,6.24 ,4.38 ,1.70 ,4.30 ,48.7,79.18,2.14419,2.11169,1.85,-0.897,-0.576,0.237,0.819,99
R17_21_Cat08_T298,298,100,0.17,27.57,-0.56,0.326,-0.357,1737.3,6.66 ,1.70 ,6.04 ,4.36 ,1.70 ,4.31 ,48.7,79.18,2.14419,2.11169,1.85,-0.897,-0.576,0.237,0.819,99
