Reactions_Number,Temperature,S_C,H_logP,H_TPSA,Atom1 NBO charge,Atom3 NBO charge,Atom4 NBO charge,C=O/C=N Vibration Frequency,Sterimol L1,Sterimol Bmin1,Sterimol Bmax1,Sterimol L2,Sterimol Bmin2,Sterimol Bmax2,C_Di_HA,Bite_Anger,C_BL1,C_BL2,Ph_distance,N_Q1,N_Q2,M_Q,%V_bur,Ee
R09_10_Cat09_T298,298,100,0.17,27.57,-0.562,-0.169,-0.345,1761.52,4.47,1.7,5.23,3.45,1.7,4.96,43.2,73.83,2.1406,2.13939,1.74,-0.836,-0.567,-0.005,0.799,90.0
R8_12_Cat08_T303,303,100,0.17,27.57,-0.574,-0.171,-0.567,1772.76,8.03,1.73,5.38,3.42,1.7,6.37,48.7,79.18,2.14419,2.11169,1.85,-0.897,-0.576,0.237,0.819,99.0
R17_08_Cat08_T298,298,100,0.17,27.57,-0.569,0.325,-0.38,1728.37,8.22,1.89,6.14,4.38,1.7,4.3,48.7,79.18,2.14419,2.11169,1.85,-0.897,-0.576,0.237,0.819,96.0
R07_02_Cat05_T300,300,100,0.17,27.57,-0.569,-0.142,-0.171,1770.96,10.94,1.7,4.07,3.42,1.7,4.95,40.8,77.14,2.15921,2.15291,1.74,-0.83,-0.553,0.027,0.794,99.2
R14_18_Cat05_T298,298,100,0.17,27.57,-0.553,-0.116,-0.117,1713.99,9.6,1.7,4.41,5.26,1.7,7.71,40.8,79.18,2.14419,2.11169,1.74,-0.83,-0.553,0.027,0.794,95.0
R14_14_Cat05_T298,298,100,0.17,27.57,-0.573,-0.13,-0.329,1721.98,5.26,1.7,7.7,4.64,1.76,3.46,40.8,79.18,2.14419,2.11169,1.74,-0.83,-0.553,0.027,0.794,99.0
R18_05_Cat11_T293,293,200,0.17,27.57,-0.708,-0.112,-0.514,1607.8,4.52,2.17,4.6,5.48,1.81,3.1,47.9,78.98,2.15993,2.12513,1.91,-0.882,-0.774,-0.22,0.794,67.0
R12_01_Cat08_T323,323,200,-0.327466667,27.02666667,-0.606,-0.165,-0.215,1732.13,9.33,1.7,4.66,3.42,1.7,4.96,48.2,79.02,2.1505,2.11373,1.92,-0.901,-0.575,0.24,0.817,99.0
R06_07_Cat06_T303,303,100,0.17,27.57,-0.594,-0.153,-0.163,1703.57,4.5,1.7,6.28,3.44,1.7,4.96,40.6,74.86,2.15724,2.17605,1.73,-0.875,-0.57,0.042,0.809,99.0
R01_06_Cat01_T301,301,200,0.17,27.57,-0.63,-0.166,-0.553,1706.85,4.98,1.71,3.25,3.27,1.7,2.71,42.2,77.79,2.14262,2.12838,1.73,-0.863,-0.742,0.027,0.796,97.0
R15_04_Cat08_T273,273,200,0.17,27.57,-0.563,-0.163,-0.239,1752.4,6.78,2.93,5.48,6.75,1.71,5.31,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99.0
R17_01_Cat08_T298,298,100,0.17,27.57,-0.596,0.633,-0.319,1560.1,6.53,1.7,7.28,3.92,1.7,3.67,48.7,79.18,2.14419,2.11169,1.85,-0.897,-0.576,0.237,0.819,77.0
R07_07_Cat05_T300,300,100,0.17,27.57,-0.571,-0.142,-0.171,1770.64,6.93,1.7,4.91,3.42,1.7,4.95,40.8,77.14,2.15921,2.15291,1.74,-0.83,-0.553,0.027,0.794,88.3
R15_02_Cat08_T273,273,200,0.17,27.57,-0.563,-0.162,-0.239,1757.61,6.77,2.95,5.47,5.38,1.7,4.47,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99.0
R11_19_Cat05_T298,298,200,0.17,27.57,-0.596,-0.21,-0.221,1783.43,6.09,1.7,6.05,6.08,1.7,6.04,39.9,77.32,2.1668,2.15103,1.74,-0.834,-0.553,0.033,0.792,21.0
R06_11_Cat06_T333,333,100,0.17,27.57,-0.583,-0.164,-0.246,1706.17,3.94,1.7,5.61,3.44,1.7,4.96,40.6,74.88,2.15667,2.17608,1.73,-0.875,-0.57,0.041,0.809,99.0
R21_02_Cat08_T298,298,100,0.17,27.57,-0.548,-0.164,-0.432,1768.7,3.46,1.7,4.96,4.13,1.7,3.17,48.2,79.31,2.13151,2.10479,1.85,-0.892,-0.575,0.229,0.825,99.0
R11_22_Cat05_T298,298,200,0.17,27.57,-0.595,-0.21,-0.217,1785.95,6.08,1.7,6.04,3.69,1.7,7.39,39.9,77.32,2.1668,2.15103,1.74,-0.834,-0.553,0.033,0.792,27.0
R10_06_Cat05_T300,300,100,0.17,27.57,-0.552,0.61,-0.22,1748.01,8.33,1.7,4.1,3.83,1.7,4.97,40.8,77.14,2.15921,2.15291,1.74,-0.83,-0.553,0.027,0.794,95.3
R07_06_Cat05_T300,300,100,0.17,27.57,-0.57,-0.142,-0.171,1771.15,9.43,1.7,6.03,3.42,1.7,4.96,40.8,77.14,2.15921,2.15291,1.74,-0.83,-0.553,0.027,0.794,87.6
R19_15_Cat09_T298,298,100,0.17,27.57,-0.486,-0.117,-0.734,1700.17,6.15,1.88,6.63,2.19,1.7,2.14,43.2,73.83,2.1406,2.13939,1.74,-0.836,-0.567,-0.005,0.799,81.0
R17_14_Cat08_T298,298,100,0.17,27.57,-0.572,0.325,-0.383,1725.92,6.14,1.7,8.26,4.38,1.7,4.3,48.7,79.18,2.14419,2.11169,1.85,-0.897,-0.576,0.237,0.819,96.0
R01_04_Cat01_T301,301,200,0.17,27.57,-0.626,-0.153,-0.789,1713.83,6.45,1.7,4.13,2.18,1.7,2.14,42.2,77.79,2.14262,2.12838,1.73,-0.863,-0.742,0.027,0.796,98.0
R06_20_Cat06_T303,303,100,0.17,27.57,-0.612,-0.129,-0.155,1690.39,5.18,1.7,5.75,3.44,1.7,4.96,40.6,74.86,2.15724,2.17605,1.73,-0.875,-0.57,0.042,0.809,99.0
R06_12_Cat06_T303,303,100,0.17,27.57,-0.593,-0.159,-0.159,1704.73,3.45,1.7,6.27,4.51,1.7,4.97,40.6,74.86,2.15724,2.17605,1.73,-0.875,-0.57,0.042,0.809,97.0
R13_32_Cat05_T298,298,67,0.17,27.57,-0.549,0.613,-0.657,1786.47,6.54,1.7,3.8,4.95,1.7,4.98,40.8,79.18,2.14419,2.11169,1.74,-0.83,-0.553,0.027,0.794,94.0
R13_24_Cat05_T298,298,67,0.17,27.57,-0.549,0.632,-0.558,1795.52,7.1,1.7,5.08,4.56,1.87,6.93,40.8,79.18,2.14419,2.11169,1.74,-0.83,-0.553,0.027,0.794,94.0
R18_02_Cat11_T293,293,200,0.17,27.57,-0.49,-0.114,-0.507,1700.73,6.15,1.88,6.63,3.27,1.7,2.7,47.9,78.98,2.15993,2.12513,1.91,-0.882,-0.774,-0.22,0.794,83.0
R07_11_Cat05_T300,300,100,0.17,27.57,-0.561,-0.153,-0.563,1813.95,10.94,1.7,4.04,2.28,1.7,3.25,40.8,77.14,2.15921,2.15291,1.74,-0.83,-0.553,0.027,0.794,95.2
R14_02_Cat05_T298,298,100,0.17,27.57,-0.575,-0.131,-0.146,1733.73,5.15,1.7,7.69,5.39,1.71,4.47,40.8,79.18,2.14419,2.11169,1.74,-0.83,-0.553,0.027,0.794,93.0
R03_04_Cat04_T303,303,100,0.17,27.57,-0.54,-0.221,-0.573,1801.31,8.6,2.45,5.74,4.08,1.74,4.08,41.4,78.61,2.15133,2.13191,1.74,-0.843,-0.741,0.025,0.783,99.0
R02_05_Cat03_T301,301,200,0.17,27.57,-0.605,-0.172,-0.2,1722.67,6.07,1.7,6.04,3.45,1.7,4.96,43.2,79.27,2.15206,2.16809,1.75,-0.887,-0.561,0.034,0.794,85.0
R16_01_Cat04_T313_04,313,20,0.17,27.57,-0.662,-0.315,-0.359,1646.29,3.87626,1.7,7.26205,3.32083,1.7,3.3117,42.7,78.31,2.1583,2.13019,1.74,-0.858,-0.742,0.014,0.787,79.0
R18_01_Cat11_T293,293,200,0.17,27.57,-0.486,-0.117,-0.734,1700.17,6.15,1.88,6.63,2.19,1.7,2.14,47.9,78.98,2.15993,2.12513,1.91,-0.882,-0.774,-0.22,0.794,90.0
R16_09_Cat10_T313,313,20,0.17,27.57,-0.656,-0.305,-0.36,1659.22,5.19,1.7,7.26,3.32,1.7,3.31,42.7,78.41,2.17674,2.13292,1.74,-0.85,-0.74,0.028,0.784,85.0
R22_05_Cat13_T333,333,200,0.17,27.57,-0.643,-0.167,-0.788,1688.13,6.91,1.7,6.35,2.18,1.7,2.14,42.8,78.79,2.11552,2.15028,1.82,-0.833,-0.745,-0.265,0.706,92.3
R14_01_Cat05_T298,298,100,0.17,27.57,-0.578,-0.13,-0.161,1730.99,5.27,1.7,7.69,5.93,1.7,3.56,40.8,79.18,2.14419,2.11169,1.74,-0.83,-0.553,0.027,0.794,99.0
R16_11_Cat10_T313,313,20,0.17,27.57,-0.652,-0.296,-0.36,1659.68,5.43,1.7,7.26,3.32,1.7,3.31,42.7,78.41,2.17674,2.13292,1.74,-0.85,-0.74,0.028,0.784,85.0
R22_10_Cat13_T333,333,100,0.17,27.57,-0.61,-0.117,-0.134,1713.57,5.69,1.7,5.21,3.26,2.46,3.29,42.8,78.79,2.11552,2.15028,1.82,-0.833,-0.745,-0.265,0.706,97.0
R13_04_Cat05_T298,298,67,0.17,27.57,-0.548,0.618,-0.647,1799.34,7.9,1.7,6.0,6.47,1.7,6.04,40.8,79.18,2.14419,2.11169,1.74,-0.83,-0.553,0.027,0.794,79.0
R14_16_Cat05_T298,298,100,0.17,27.57,-0.578,-0.13,-0.309,1713.53,5.24,1.7,7.69,6.3,1.7,6.04,40.8,79.18,2.14419,2.11169,1.74,-0.83,-0.553,0.027,0.794,41.0
R11_15_Cat05_T298,298,200,0.17,27.57,-0.605,-0.204,-0.216,1776.8,10.31,1.7,6.35,5.24,1.7,3.96,39.9,77.32,2.1668,2.15103,1.74,-0.834,-0.553,0.033,0.792,68.0
R02_05_Cat02_T301,301,200,0.17,27.57,-0.605,-0.172,-0.2,1722.67,6.07,1.7,6.04,3.45,1.7,4.96,42.1,79.22,2.16778,2.14473,1.77,-0.854,-0.553,0.035,0.783,93.0
R14_08_Cat05_T298,298,100,0.17,27.57,-0.573,-0.12,-0.131,1734.55,5.28,1.7,7.69,6.14,1.7,6.51,40.8,79.18,2.14419,2.11169,1.74,-0.83,-0.553,0.027,0.794,90.0
R06_24_Cat06_T303,303,100,0.17,27.57,-0.632,-0.144,-0.186,1676.3,6.89,1.7,4.02,3.43,1.7,6.4,40.6,74.86,2.15724,2.17605,1.73,-0.875,-0.57,0.042,0.809,79.0
R14_17_Cat05_T298,298,100,0.17,27.57,-0.545,-0.103,-0.12,1720.99,5.17,1.7,7.7,6.59,1.7,6.02,40.8,79.18,2.14419,2.11169,1.74,-0.83,-0.553,0.027,0.794,95.0
R06_13_Cat06_T313,313,100,0.17,27.57,-0.599,-0.157,-0.175,1701.07,4.51,1.7,4.97,3.44,1.7,5.57,40.6,74.85,2.15734,2.17588,1.73,-0.875,-0.57,0.042,0.809,97.0
R13_21_Cat05_T298,298,67,0.17,27.57,-0.551,0.604,-0.636,1812.55,6.49,1.7,6.04,6.06,1.8,5.16,40.8,79.18,2.14419,2.11169,1.74,-0.83,-0.553,0.027,0.794,97.0
R15_08_Cat08_T273,273,200,0.17,27.57,-0.559,-0.165,-0.239,1759.84,6.77,2.95,5.44,3.49,1.7,6.27,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99.0
R06_06_Cat06_T333,333,100,0.17,27.57,-0.623,-0.153,-0.156,1681.64,7.05,1.96,4.59,3.44,1.7,4.96,40.6,74.88,2.15667,2.17608,1.73,-0.875,-0.57,0.041,0.809,98.0
R19_07_Cat09_T298,298,100,0.17,27.57,-0.463,-0.106,-0.129,1678.1,5.24,1.7,4.78,4.47,2.26,4.94,43.2,73.83,2.1406,2.13939,1.74,-0.836,-0.567,-0.005,0.799,90.0
R13_34_Cat05_T298,298,67,0.17,27.57,-0.529,0.609,-0.569,1805.42,6.9,1.7,5.27,5.49,1.81,3.09,40.8,79.18,2.14419,2.11169,1.74,-0.83,-0.553,0.027,0.794,93.0
R07_05_Cat05_T300,300,100,0.17,27.57,-0.57,-0.142,-0.171,1770.86,8.05,2.38,3.75,3.42,1.7,4.96,40.8,77.14,2.15921,2.15291,1.74,-0.83,-0.553,0.027,0.794,97.7
R02_07_Cat03_T301,301,200,0.17,27.57,-0.626,-0.153,-0.789,1713.82,6.45,1.7,4.13,2.18,1.7,2.14,43.2,79.27,2.15206,2.16809,1.75,-0.887,-0.561,0.034,0.794,83.0
R20_05_Cat12_T323,323,100,-0.14,72.3,-0.605,-0.163,-0.346,1772.41,5.54,3.0,6.68,3.25,2.0,3.24,48.1,78.41,2.18974,2.12848,1.74,-0.851,-0.737,0.032,0.784,99.0
R17_17_Cat08_T298,298,100,0.17,27.57,-0.569,0.325,-0.38,1728.22,7.85,1.71,6.12,4.38,1.7,4.3,48.7,79.18,2.14419,2.11169,1.85,-0.897,-0.576,0.237,0.819,96.0
R20_08_Cat12_T323,323,100,-0.14,72.3,-0.617,-0.162,-0.345,1762.54,11.16,2.14,5.7,3.25,1.97,3.24,48.1,78.41,2.18974,2.12848,1.74,-0.851,-0.737,0.032,0.784,99.0
R20_01_Cat12_T323,323,100,-0.14,72.3,-0.618,-0.163,-0.345,1762.02,9.23,2.82,4.43,3.25,1.97,3.24,48.1,78.41,2.18974,2.12848,1.74,-0.851,-0.737,0.032,0.784,99.0
R17_10_Cat08_T298,298,100,0.17,27.57,-0.575,0.325,-0.388,1722.71,6.14,1.7,9.37,4.38,1.7,4.3,48.7,79.18,2.14419,2.11169,1.85,-0.897,-0.576,0.237,0.819,98.0
R13_20_Cat05_T298,298,67,0.17,27.57,-0.553,0.609,-0.652,1793.26,6.45,2.13,6.5,6.25,1.7,5.2,40.8,79.18,2.14419,2.11169,1.74,-0.83,-0.553,0.027,0.794,99.0
R07_14_Cat05_T300,300,100,0.17,27.57,-0.564,-0.153,-0.569,1807.95,4.31,2.46,9.74,3.24,1.75,2.69,40.8,77.14,2.15921,2.15291,1.74,-0.83,-0.553,0.027,0.794,95.5
R17_04_Cat08_T298,298,100,0.17,27.57,-0.594,0.633,-0.316,1559.96,6.49,1.7,6.07,5.06,2.35,5.6,48.7,79.18,2.14419,2.11169,1.85,-0.897,-0.576,0.237,0.819,96.0
R03_08_Cat04_T303,303,100,0.17,27.57,-0.528,-0.219,-0.567,1834.94,6.58,2.78,3.76,4.11,1.73,3.18,41.4,78.61,2.15133,2.13191,1.74,-0.843,-0.741,0.025,0.783,99.0
R12_05_Cat08_T323,323,200,-0.327466667,27.02666667,-0.6,-0.154,-0.218,1737.37,6.83,1.7,6.06,3.42,1.7,4.96,48.2,79.02,2.1505,2.11373,1.92,-0.901,-0.575,0.24,0.817,99.0
R03_07_Cat04_T303,303,100,0.17,27.57,-0.525,-0.22,-0.558,1835.12,6.1,1.7,5.93,7.5,1.97,3.58,41.4,78.61,2.15133,2.13191,1.74,-0.843,-0.741,0.025,0.783,99.0
R14_15_Cat05_T298,298,100,0.17,27.57,-0.545,0.106,-0.137,1759.32,5.18,1.7,7.7,4.36,1.7,4.44,40.8,79.18,2.14419,2.11169,1.74,-0.83,-0.553,0.027,0.794,91.0
R18_04_Cat11_T293,293,200,0.17,27.57,-0.702,-0.116,-0.742,1614.16,4.52,2.17,4.6,2.19,1.7,2.14,47.9,78.98,2.15993,2.12513,1.91,-0.882,-0.774,-0.22,0.794,68.0
R11_23_Cat05_T298,298,200,0.17,27.57,-0.596,-0.21,-0.223,1783.3,7.55,1.7,6.5,7.55,1.7,6.5,39.9,77.32,2.1668,2.15103,1.74,-0.834,-0.553,0.033,0.792,28.0
R20_03_Cat12_T323,323,100,-0.14,72.3,-0.618,-0.162,-0.345,1762.37,8.36,2.8,4.44,3.25,1.97,3.24,48.1,78.41,2.18974,2.12848,1.74,-0.851,-0.737,0.032,0.784,99.0
R01_08_Cat01_T301,301,200,0.17,27.57,-0.631,-0.167,-0.789,1717.21,4.27,1.7,7.18,2.18,1.7,2.14,42.2,77.79,2.14262,2.12838,1.73,-0.863,-0.742,0.027,0.796,96.0
R14_19_Cat05_T298,298,100,0.17,27.57,-0.545,-0.12,-0.151,1730.8,5.2,1.7,7.71,9.17,1.7,3.39,40.8,79.18,2.14419,2.11169,1.74,-0.83,-0.553,0.027,0.794,97.0
R02_03_Cat02_T313,313,200,0.17,27.57,-0.623,-0.164,-0.79,1716.83,6.29,1.75,3.25,2.18,1.7,2.14,42.1,79.22,2.16755,2.14475,1.77,-0.854,-0.553,0.034,0.783,89.0
R22_01_Cat13_T333,333,1000,0.17,27.57,-0.665,-0.234,-0.777,1620.1,6.36,1.7,4.77,2.18,1.7,2.13,42.8,78.79,2.11552,2.15028,1.82,-0.833,-0.745,-0.265,0.706,95.0
R22_12_Cat13_T313,313,1000,0.17,27.57,-0.614,-0.141,-0.656,1701.04,5.69,1.7,5.26,5.27,1.7,3.04,42.9,78.77,2.11587,2.15011,1.82,-0.833,-0.745,-0.265,0.706,98.2
R17_14_Cat08_T298,298,100,0.17,27.57,-0.57,0.325,-0.382,1727.54,6.15,1.7,7.29,4.38,1.7,4.3,48.7,79.18,2.14419,2.11169,1.85,-0.897,-0.576,0.237,0.819,98.0
R07_12_Cat05_T300,300,100,0.17,27.57,-0.561,-0.153,-0.563,1814.18,11.88,1.7,4.85,2.28,1.7,3.25,40.8,77.14,2.15921,2.15291,1.74,-0.83,-0.553,0.027,0.794,89.6
R21_24_Cat08_T298,298,100,0.17,27.57,-0.54,-0.449,-0.562,1820.43,5.35,1.7,5.69,3.26,1.7,2.71,48.2,79.31,2.13151,2.10479,1.85,-0.892,-0.575,0.229,0.825,99.0
R03_01_Cat04_T303,303,100,0.17,27.57,-0.534,-0.227,-0.797,1809.77,8.6,2.48,5.78,2.18,1.7,2.13,41.4,78.61,2.15133,2.13191,1.74,-0.843,-0.741,0.025,0.783,99.0
R07_08_Cat05_T300,300,100,0.17,27.57,-0.57,-0.142,-0.171,1770.99,5.71,1.7,3.2,3.42,1.7,4.96,40.8,77.14,2.15921,2.15291,1.74,-0.83,-0.553,0.027,0.794,99.5
R8_08_Cat08_T303,303,100,0.17,27.57,-0.577,-0.175,-0.566,1771.75,8.1,2.4,4.77,4.66,1.7,4.96,48.7,79.18,2.14419,2.11169,1.85,-0.897,-0.576,0.237,0.819,99.0
R07_03_Cat05_T300,300,100,0.17,27.57,-0.569,-0.142,-0.171,1771.02,11.88,1.7,4.86,3.42,1.7,4.95,40.8,77.14,2.15921,2.15291,1.74,-0.83,-0.553,0.027,0.794,99.9
R01_07_Cat01_T301,301,200,0.17,27.57,-0.628,-0.163,-0.559,1711.28,4.98,1.71,3.25,9.31,2.03,3.54,42.2,77.79,2.14262,2.12838,1.73,-0.863,-0.742,0.027,0.796,95.0
R12_12_Cat08_T323,323,200,-0.327466667,27.02666667,-0.6,-0.152,-0.218,1736.55,11.27,1.7,5.89,3.42,1.7,4.96,48.2,79.02,2.1505,2.11373,1.92,-0.901,-0.575,0.24,0.817,99.0
R09_07_Cat09_T298,298,100,0.17,27.57,-0.59,-0.163,-0.577,1743.63,5.18,1.7,5.27,3.45,1.7,4.96,43.2,73.83,2.1406,2.13939,1.74,-0.836,-0.567,-0.005,0.799,92.0
R09_06_Cat09_T298,298,100,0.17,27.57,-0.575,-0.165,-0.575,1753.16,5.26,1.7,5.43,3.45,1.7,4.96,43.2,73.83,2.1406,2.13939,1.74,-0.836,-0.567,-0.005,0.799,94.0
R01_12_Cat01_T301,301,200,0.17,27.57,-0.63,-0.237,-0.581,1713.76,3.42,1.7,4.96,4.57,2.2,3.71,42.2,77.79,2.14262,2.12838,1.73,-0.863,-0.742,0.027,0.796,97.0
R01_05_Cat01_T301,301,200,0.17,27.57,-0.642,-0.197,-0.787,1700.81,6.89,1.7,4.03,2.18,1.7,2.14,42.2,77.79,2.14262,2.12838,1.73,-0.863,-0.742,0.027,0.796,97.0
